game_id,season,week,home_team,away_team,y_true,y_pred,vegas_home_line,home_covered,model_pick_home_ats,ats_correct,vegas_ats_correct,agrees_with_book
2010_07_ARI_SEA,2010,7,SEA,ARI,12.0,1.183401070637872,6.5,1,0,0,1,0
2010_07_OAK_DEN,2010,7,DEN,OAK,-45.0,5.610017463184259,7.0,0,0,1,0,0
2010_07_NE_SD,2010,7,SD,NE,-3.0,-1.6962751186773093,2.5,0,0,1,0,0
2010_07_MIN_GB,2010,7,GB,MIN,4.0,1.506892848081621,2.5,1,0,0,1,0
2010_07_NYG_DAL,2010,7,DAL,NYG,-6.0,1.9917403810455696,3.5,0,0,1,0,0
2010_08_MIA_CIN,2010,8,CIN,MIA,-8.0,1.2171352653625636,-1.0,0,1,0,1,0
2010_08_JAX_DAL,2010,8,DAL,JAX,-18.0,5.362945077539072,6.5,0,0,1,0,0
2010_08_WAS_DET,2010,8,DET,WAS,12.0,2.551189377424992,2.5,1,1,1,1,1
2010_08_BUF_KC,2010,8,KC,BUF,3.0,10.805841536393702,7.0,0,1,0,0,1
2010_08_GB_NYJ,2010,8,NYJ,GB,-9.0,5.710575500112409,6.5,0,0,1,0,0
2010_08_DEN_SF,2010,8,SF,DEN,8.0,4.789718505848894,2.0,1,1,1,1,1
2010_08_CAR_STL,2010,8,STL,CAR,10.0,0.8632964496140965,2.5,1,0,0,1,0
2010_08_TEN_SD,2010,8,SD,TEN,8.0,1.137593015708974,6.0,1,0,0,1,0
2010_08_TB_ARI,2010,8,ARI,TB,-3.0,3.0875900737735766,3.0,0,1,0,0,1
2010_08_MIN_NE,2010,8,NE,MIN,10.0,9.36969214792666,5.0,1,1,1,1,1
2010_08_SEA_OAK,2010,8,OAK,SEA,30.0,5.934831468758382,1.5,1,1,1,1,1
2010_08_PIT_NO,2010,8,NO,PIT,10.0,-0.0055836098425368,1.0,1,0,0,1,0
2010_08_HOU_IND,2010,8,IND,HOU,13.0,6.463081789646331,5.5,1,1,1,1,1
2010_09_TB_ATL,2010,9,ATL,TB,6.0,11.483462988341108,10.0,0,1,0,0,1
